algorithm,best_validation_loss,checkpoint,elapsed_seconds,epochs,global_steps,seed,task,source_file,environment_steps,episodes
diffusion,0.008601315679367293,/home/22010759/capstone2_ur3_vla/ALong_ARL/outputs/diffusion_push_button_seed0/checkpoint.pt,345.979124546051,300.0,23100.0,0,push_button,/home/22010759/capstone2_ur3_vla/ALong_ARL/outputs/diffusion_push_button_seed0/training_summary.json,,
diffusion,0.004242966696619987,/home/22010759/capstone2_ur3_vla/ALong_ARL/outputs/diffusion_push_button_seed1/checkpoint.pt,366.196533203125,300.0,23400.0,1,push_button,/home/22010759/capstone2_ur3_vla/ALong_ARL/outputs/diffusion_push_button_seed1/training_summary.json,,
diffusion,0.003264051559381187,/home/22010759/capstone2_ur3_vla/ALong_ARL/outputs/diffusion_push_button_seed2/checkpoint.pt,342.99691891670227,300.0,23100.0,2,push_button,/home/22010759/capstone2_ur3_vla/ALong_ARL/outputs/diffusion_push_button_seed2/training_summary.json,,
diffusion,0.0009069612424355,/home/22010759/capstone2_ur3_vla/ALong_ARL/outputs/diffusion_reach_target_seed0/checkpoint.pt,215.03366780281067,300.0,13200.0,0,reach_target,/home/22010759/capstone2_ur3_vla/ALong_ARL/outputs/diffusion_reach_target_seed0/training_summary.json,,
diffusion,0.0009315911350616565,/home/22010759/capstone2_ur3_vla/ALong_ARL/outputs/diffusion_reach_target_seed1/checkpoint.pt,201.97662711143494,300.0,13200.0,1,reach_target,/home/22010759/capstone2_ur3_vla/ALong_ARL/outputs/diffusion_reach_target_seed1/training_summary.json,,
diffusion,0.0009511573104343066,/home/22010759/capstone2_ur3_vla/ALong_ARL/outputs/diffusion_reach_target_seed2/checkpoint.pt,202.20464396476746,300.0,13200.0,2,reach_target,/home/22010759/capstone2_ur3_vla/ALong_ARL/outputs/diffusion_reach_target_seed2/training_summary.json,,
diffusion,0.0023928771977527784,/home/22010759/capstone2_ur3_vla/ALong_ARL/outputs/diffusion_slide_block_to_target_seed0/checkpoint.pt,435.0664014816284,300.0,28800.0,0,slide_block_to_target,/home/22010759/capstone2_ur3_vla/ALong_ARL/outputs/diffusion_slide_block_to_target_seed0/training_summary.json,,
diffusion,0.0026711955165060666,/home/22010759/capstone2_ur3_vla/ALong_ARL/outputs/diffusion_slide_block_to_target_seed1/checkpoint.pt,504.7391040325165,300.0,29100.0,1,slide_block_to_target,/home/22010759/capstone2_ur3_vla/ALong_ARL/outputs/diffusion_slide_block_to_target_seed1/training_summary.json,,
diffusion,0.003376104528657519,/home/22010759/capstone2_ur3_vla/ALong_ARL/outputs/diffusion_slide_block_to_target_seed2/checkpoint.pt,439.82196831703186,300.0,29100.0,2,slide_block_to_target,/home/22010759/capstone2_ur3_vla/ALong_ARL/outputs/diffusion_slide_block_to_target_seed2/training_summary.json,,
ppo,,/home/22010759/capstone2_ur3_vla/ALong_ARL/outputs/ppo_push_button_seed0/model.zip,3824.841899871826,,,0,push_button,/home/22010759/capstone2_ur3_vla/ALong_ARL/outputs/ppo_push_button_seed0/training_summary.json,100352.0,1033.0
ppo,,/home/22010759/capstone2_ur3_vla/ALong_ARL/outputs/ppo_push_button_seed1/model.zip,3537.7238416671753,,,1,push_button,/home/22010759/capstone2_ur3_vla/ALong_ARL/outputs/ppo_push_button_seed1/training_summary.json,100352.0,823.0
ppo,,/home/22010759/capstone2_ur3_vla/ALong_ARL/outputs/ppo_push_button_seed2/model.zip,3648.3717682361603,,,2,push_button,/home/22010759/capstone2_ur3_vla/ALong_ARL/outputs/ppo_push_button_seed2/training_summary.json,100352.0,877.0
ppo,,/home/22010759/capstone2_ur3_vla/ALong_ARL/outputs/ppo_reach_target_seed0/model.zip,3753.444765806198,,,0,reach_target,/home/22010759/capstone2_ur3_vla/ALong_ARL/outputs/ppo_reach_target_seed0/training_summary.json,100352.0,733.0
ppo,,/home/22010759/capstone2_ur3_vla/ALong_ARL/outputs/ppo_reach_target_seed1/model.zip,3837.828914642334,,,1,reach_target,/home/22010759/capstone2_ur3_vla/ALong_ARL/outputs/ppo_reach_target_seed1/training_summary.json,100352.0,933.0
ppo,,/home/22010759/capstone2_ur3_vla/ALong_ARL/outputs/ppo_reach_target_seed2/model.zip,3729.428171157837,,,2,reach_target,/home/22010759/capstone2_ur3_vla/ALong_ARL/outputs/ppo_reach_target_seed2/training_summary.json,100352.0,701.0
ppo,,/home/22010759/capstone2_ur3_vla/ALong_ARL/outputs/ppo_slide_block_to_target_seed0/model.zip,4161.889589071274,,,0,slide_block_to_target,/home/22010759/capstone2_ur3_vla/ALong_ARL/outputs/ppo_slide_block_to_target_seed0/training_summary.json,100352.0,504.0
ppo,,/home/22010759/capstone2_ur3_vla/ALong_ARL/outputs/ppo_slide_block_to_target_seed1/model.zip,4117.41774225235,,,1,slide_block_to_target,/home/22010759/capstone2_ur3_vla/ALong_ARL/outputs/ppo_slide_block_to_target_seed1/training_summary.json,100352.0,509.0
ppo,,/home/22010759/capstone2_ur3_vla/ALong_ARL/outputs/ppo_slide_block_to_target_seed2/model.zip,4668.158019065857,,,2,slide_block_to_target,/home/22010759/capstone2_ur3_vla/ALong_ARL/outputs/ppo_slide_block_to_target_seed2/training_summary.json,100352.0,502.0
